  SCF Step    1                                                                                     
  r(a.u.)    Density   radDensity                                                                   
  0.1500     0.1915     0.0542                                                                      
  0.2000     0.1725     0.0867                                                                      
  0.2500     0.1557     0.1223                                                                      
  0.3000     0.1411     0.1595                                                                      
  0.3500     0.1280     0.1971                                                                      
  0.4000     0.1161     0.2335                                                                      
  0.4500     0.1053     0.2679                                                                      
  0.5000     0.0954     0.2996                                                                      
  0.5500     0.0865     0.3286                                                                      
  0.6000     0.0784     0.3549                                                                      
  0.6500     0.0712     0.3783                                                                      
  0.7000     0.0648     0.3989                                                                      
  0.7500     0.0590     0.4167                                                                      
  0.8000     0.0537     0.4317                                                                      
  0.8500     0.0489     0.4439                                                                      
  0.9000     0.0445     0.4533                                                                      
  0.9500     0.0406     0.4601                                                                      
  1.0000     0.0370     0.4644                                                                      
  1.0500     0.0337     0.4665                                                                      
  1.1000     0.0307     0.4664                                                                      
  1.1500     0.0280     0.4646                                                                      
  1.2000     0.0255     0.4612                                                                      
  1.2500     0.0232     0.4563                                                                      
  1.3000     0.0212     0.4503                                                                      
  1.3500     0.0194     0.4432                                                                      
  1.4000     0.0177     0.4352                                                                      
  1.4500     0.0161     0.4265                                                                      
  1.5000     0.0148     0.4171                                                                      
  1.5500     0.0135     0.4072                                                                      
  1.6000     0.0123     0.3969                                                                      
  1.6500     0.0113     0.3862                                                                      
  1.7000     0.0103     0.3753                                                                      
  1.7500     0.0095     0.3643                                                                      
  1.8000     0.0087     0.3531                                                                      
  1.8500     0.0080     0.3419                                                                      
  1.9000     0.0073     0.3307                                                                      
  1.9500     0.0067     0.3196                                                                      
  2.0000     0.0061     0.3086                                                                      
  2.0500     0.0056     0.2977                                                                      
  2.1000     0.0052     0.2870                                                                      
  2.1500     0.0048     0.2765                                                                      
  2.2000     0.0044     0.2662                                                                      
  2.2500     0.0040     0.2562                                                                      
  2.3000     0.0037     0.2463                                                                      
  2.3500     0.0034     0.2368                                                                      
  2.4000     0.0031     0.2274                                                                      
  2.4500     0.0029     0.2183                                                                      
  2.5000     0.0027     0.2095                                                                      
  2.5500     0.0025     0.2009                                                                      
  2.6000     0.0023     0.1926                                                                      
  2.6500     0.0021     0.1845                                                                      
  2.7000     0.0019     0.1766                                                                      
  2.7500     0.0018     0.1689                                                                      
  2.8000     0.0016     0.1615                                                                      
  2.8500     0.0015     0.1543                                                                      
  2.9000     0.0014     0.1474                                                                      
  2.9500     0.0013     0.1406                                                                      
  3.0000     0.0012     0.1341                                                                      
  3.0500     0.0011     0.1277                                                                      
  3.1000     0.0010     0.1216                                                                      
  3.1500     0.0009     0.1157                                                                      
  3.2000     0.0009     0.1099                                                                      
  3.2500     0.0008     0.1044                                                                      
  3.3000     0.0007     0.0991                                                                      
  3.3500     0.0007     0.0940                                                                      
  3.4000     0.0006     0.0890                                                                      
  3.4500     0.0006     0.0843                                                                      
  3.5000     0.0005     0.0797                                                                      
  3.5500     0.0005     0.0753                                                                      
  3.6000     0.0004     0.0711                                                                      
  3.6500     0.0004     0.0671                                                                      
  3.7000     0.0004     0.0632                                                                      
  3.7500     0.0003     0.0595                                                                      
  3.8000     0.0003     0.0560                                                                      
  3.8500     0.0003     0.0526                                                                      
  3.9000     0.0003     0.0494                                                                      
  3.9500     0.0002     0.0464                                                                      
  4.0000     0.0002     0.0435                                                                      
  4.0500     0.0002     0.0407                                                                      
  4.1000     0.0002     0.0381                                                                      
  4.1500     0.0002     0.0356                                                                      
  4.2000     0.0002     0.0333                                                                      
  4.2500     0.0001     0.0311                                                                      
  4.3000     0.0001     0.0290                                                                      
  4.3500     0.0001     0.0270                                                                      
  4.4000     0.0001     0.0251                                                                      
  4.4500     0.0001     0.0234                                                                      
  4.5000     0.0001     0.0217                                                                      
  4.5500     0.0001     0.0201                                                                      
  4.6000     0.0001     0.0187                                                                      
  4.6500     0.0001     0.0173                                                                      
  4.7000     0.0001     0.0160                                                                      
  4.7500     0.0001     0.0148                                                                      
  4.8000     0.0000     0.0137                                                                      
  4.8500     0.0000     0.0126                                                                      
  4.9000     0.0000     0.0116                                                                      
  4.9500     0.0000     0.0107                                                                      
  5.0000     0.0000     0.0099                                                                      
  5.0500     0.0000     0.0091                                                                      
  5.1000     0.0000     0.0083                                                                      
  5.1500     0.0000     0.0076                                                                      
  5.2000     0.0000     0.0070                                                                      
  5.2500     0.0000     0.0064                                                                      
  5.3000     0.0000     0.0059                                                                      
  5.3500     0.0000     0.0054                                                                      
  5.4000     0.0000     0.0049                                                                      
  5.4500     0.0000     0.0045                                                                      
  5.5000     0.0000     0.0041                                                                      
  5.5500     0.0000     0.0037                                                                      
